month,load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,peak_grid_import_kw,battery_charge_kwh,battery_discharge_kwh,scenario,configuration
1,802030.8758444915,0.0,802030.8758444915,0.0,2000.2403307214208,0.0,0.0,conservative,grid_only
2,719405.6264897069,0.0,719405.6264897069,0.0,1955.5801574041204,0.0,0.0,conservative,grid_only
3,829047.0536279435,0.0,829047.0536279435,0.0,2228.7327635206243,0.0,0.0,conservative,grid_only
4,917377.6300449923,0.0,917377.6300449923,0.0,2678.003280173614,0.0,0.0,conservative,grid_only
5,1084015.046733087,0.0,1084015.046733087,0.0,3355.6964357136653,0.0,0.0,conservative,grid_only
6,1119480.7012048315,0.0,1119480.7012048315,0.0,3407.799711701641,0.0,0.0,conservative,grid_only
7,1203556.8849307133,0.0,1203556.8849307133,0.0,3599.7895096121247,0.0,0.0,conservative,grid_only
8,1192308.842857548,0.0,1192308.842857548,0.0,3542.108427869001,0.0,0.0,conservative,grid_only
9,1131024.7553792365,0.0,1131024.7553792365,0.0,3420.0388421951357,0.0,0.0,conservative,grid_only
10,1072236.2024273165,0.0,1072236.2024273165,0.0,2973.287309806134,0.0,0.0,conservative,grid_only
11,886361.3795349033,0.0,886361.3795349033,0.0,2598.4338874744208,0.0,0.0,conservative,grid_only
12,817155.0009252294,0.0,817155.0009252294,0.0,2094.78898787157,0.0,0.0,conservative,grid_only
1,802030.8758444915,72035.92535502597,729994.9504894655,0.0,1781.7369965076596,0.0,0.0,conservative,roof_pv_only
2,719405.6264897069,52655.753219711376,666749.8732699954,0.0,1786.3598000787638,0.0,0.0,conservative,roof_pv_only
3,829047.0536279435,61852.483616957325,767194.5700109862,0.0,1933.9787279995708,0.0,0.0,conservative,roof_pv_only
4,917377.6300449923,65321.831600112106,852055.7984448802,0.0,2407.6757772985284,0.0,0.0,conservative,roof_pv_only
5,1084015.046733087,63764.61322730789,1020250.4335057791,0.0,2987.30746773353,0.0,0.0,conservative,roof_pv_only
6,1119480.7012048315,65858.29205813046,1053622.409146701,0.0,3062.036214265281,0.0,0.0,conservative,roof_pv_only
7,1203556.8849307133,71086.17156853266,1132470.7133621806,0.0,3357.270297943258,0.0,0.0,conservative,roof_pv_only
8,1192308.842857548,63416.69814004074,1128892.1447175073,0.0,3313.4246228151887,0.0,0.0,conservative,roof_pv_only
9,1131024.7553792365,68967.92299318346,1062056.8323860532,0.0,3183.6289686603595,0.0,0.0,conservative,roof_pv_only
10,1072236.2024273165,68100.864699021,1004135.3377282955,0.0,2803.763292728287,0.0,0.0,conservative,roof_pv_only
11,886361.3795349033,60256.233414033966,826105.1461208693,0.0,2403.9701564378097,0.0,0.0,conservative,roof_pv_only
12,817155.0009252294,57653.3566573957,759501.6442678337,0.0,1888.0258872499899,0.0,0.0,conservative,roof_pv_only
1,802030.8758444915,168448.49770904853,633582.378135443,0.0,1691.68294393884,0.0,0.0,conservative,roof_plus_flexileaf
2,719405.6264897069,119971.14686609569,599434.4796236112,0.0,1671.2173357949798,0.0,0.0,conservative,roof_plus_flexileaf
3,829047.0536279435,137234.2935130286,691812.7601149149,0.0,1873.9319272135674,0.0,0.0,conservative,roof_plus_flexileaf
4,917377.6300449923,140916.55538127013,776461.0746637222,0.0,2238.920199684363,0.0,0.0,conservative,roof_plus_flexileaf
5,1084015.046733087,137653.86309353652,946361.1836395506,0.0,2648.573091554522,0.0,0.0,conservative,roof_plus_flexileaf
6,1119480.7012048315,142205.48365084664,977275.2175539848,0.0,2865.0233454990635,0.0,0.0,conservative,roof_plus_flexileaf
7,1203556.8849307133,151344.94613752488,1052211.9387931884,0.0,3154.9599836293387,0.0,0.0,conservative,roof_plus_flexileaf
8,1192308.842857548,135203.9082858009,1057104.9345717472,0.0,3129.938738973901,0.0,0.0,conservative,roof_plus_flexileaf
9,1131024.7553792365,150475.37650629054,980549.378872946,0.0,2962.56757441282,0.0,0.0,conservative,roof_plus_flexileaf
10,1072236.2024273165,153920.68090018167,918315.5215271348,0.0,2646.4909457498434,0.0,0.0,conservative,roof_plus_flexileaf
11,886361.3795349033,139845.8422704275,746515.5372644758,0.0,2289.0040120933713,0.0,0.0,conservative,roof_plus_flexileaf
12,817155.0009252294,135350.3585604567,681804.6423647726,0.0,1768.7038929975995,0.0,0.0,conservative,roof_plus_flexileaf
1,802030.8758444915,168448.49770904853,636983.0705394214,0.0,1264.086548907207,34878.89645100378,31478.204047025392,conservative,roof_plus_flexileaf_battery
2,719405.6264897069,119971.14686609569,602473.9187333093,0.0,1307.7543969096498,31173.734458441253,28134.29534874321,conservative,roof_plus_flexileaf_battery
3,829047.0536279435,137234.2935130286,695188.5176704058,0.0,1527.9490996414568,34623.15441529124,31247.39685980034,conservative,roof_plus_flexileaf_battery
4,917377.6300449923,140916.55538127013,780039.1573596908,0.0,1839.3964467357566,36698.28406121577,33120.20136524723,conservative,roof_plus_flexileaf_battery
5,1084015.046733087,137653.86309353652,950145.6145899425,0.0,2311.579437033989,38814.67641427654,35030.24546388456,conservative,roof_plus_flexileaf_battery
6,1119480.7012048315,142205.48365084664,981011.6718935226,0.0,2477.7392650485044,38322.608610644216,34586.1542711064,conservative,roof_plus_flexileaf_battery
