總日照 (小時)  - 京士柏
Total Bright Sunshine (hours) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,1,1,0.1,C
2025,1,2,2.6,C
2025,1,3,9.6,C
2025,1,4,8.2,C
2025,1,5,6.1,C
2025,1,6,9.6,C
2025,1,7,7.2,C
2025,1,8,5.6,C
2025,1,9,9.6,C
2025,1,10,9.6,C
2025,1,11,9.6,C
2025,1,12,9.8,C
2025,1,13,8.9,C
2025,1,14,0.1,C
2025,1,15,9.1,C
2025,1,16,9.6,C
2025,1,17,9.9,C
2025,1,18,9.9,C
2025,1,19,10.0,C
2025,1,20,9.9,C
2025,1,21,5.4,C
2025,1,22,3.5,C
2025,1,23,1.5,C
2025,1,24,9.9,C
2025,1,25,6.1,C
2025,1,26,0.0,C
2025,1,27,10.3,C
2025,1,28,9.9,C
2025,1,29,8.5,C
2025,1,30,8.9,C
2025,1,31,3.3,C
2025,2,1,3.0,C
2025,2,2,0.4,C
2025,2,3,1.2,C
2025,2,4,8.2,C
2025,2,5,7.0,C
2025,2,6,2.2,C
2025,2,7,0.0,C
2025,2,8,4.1,C
2025,2,9,10.4,C
2025,2,10,9.7,C
2025,2,11,4.4,C
2025,2,12,0.0,C
2025,2,13,0.3,C
2025,2,14,0.7,C
2025,2,15,5.2,C
2025,2,16,8.6,C
2025,2,17,10.0,C
2025,2,18,8.7,C
2025,2,19,0.5,C
2025,2,20,1.2,C
2025,2,21,2.1,C
2025,2,22,0.1,C
2025,2,23,0.8,C
2025,2,24,5.6,C
2025,2,25,0.2,C
2025,2,26,0.7,C
2025,2,27,8.7,C
2025,2,28,9.1,C
2025,3,1,0.3,C
2025,3,2,4.6,C
2025,3,3,4.6,C
2025,3,4,0.5,C
2025,3,5,0.0,C
2025,3,6,0.0,C
2025,3,7,0.0,C
2025,3,8,5.0,C
2025,3,9,8.2,C
2025,3,10,6.0,C
2025,3,11,0.7,C
2025,3,12,0.5,C
2025,3,13,6.6,C
2025,3,14,0.1,C
2025,3,15,5.0,C
2025,3,16,8.2,C
2025,3,17,0.8,C
2025,3,18,0.8,C
2025,3,19,10.9,C
2025,3,20,11.0,C
2025,3,21,11.1,C
2025,3,22,11.2,C
2025,3,23,11.1,C
2025,3,24,11.1,C
2025,3,25,11.1,C
2025,3,26,10.4,C
2025,3,27,2.0,C
2025,3,28,2.0,C
2025,3,29,0.0,C
2025,3,30,0.0,C
2025,3,31,0.0,C
2025,4,1,5.5,C
2025,4,2,10.5,C
2025,4,3,10.9,C
2025,4,4,2.6,C
2025,4,5,0.0,C
2025,4,6,2.3,C
2025,4,7,10.0,C
2025,4,8,5.9,C
2025,4,9,7.5,C
2025,4,10,6.9,C
2025,4,11,0.6,C
2025,4,12,0.0,C
2025,4,13,2.6,C
2025,4,14,11.0,C
2025,4,15,11.0,C
2025,4,16,11.3,C
2025,4,17,5.9,C
2025,4,18,0.0,C
2025,4,19,0.7,C
2025,4,20,8.1,C
2025,4,21,4.0,C
2025,4,22,5.7,C
2025,4,23,8.0,C
2025,4,24,4.4,C
2025,4,25,0.0,C
2025,4,26,0.1,C
2025,4,27,0.5,C
2025,4,28,3.1,C
2025,4,29,9.3,C
2025,4,30,7.2,C
2025,5,1,1.8,C
2025,5,2,11.3,C
2025,5,3,2.9,C
2025,5,4,5.0,C
2025,5,5,3.5,C
2025,5,6,1.7,C
2025,5,7,0.0,C
2025,5,8,2.4,C
2025,5,9,2.3,C
2025,5,10,2.6,C
2025,5,11,6.3,C
2025,5,12,11.3,C
2025,5,13,8.0,C
2025,5,14,7.3,C
2025,5,15,9.4,C
2025,5,16,2.6,C
2025,5,17,5.7,C
2025,5,18,7.2,C
2025,5,19,0.7,C
2025,5,20,1.4,C
2025,5,21,3.5,C
2025,5,22,8.5,C
2025,5,23,7.4,C
2025,5,24,3.0,C
2025,5,25,0.1,C
2025,5,26,0.9,C
2025,5,27,5.8,C
2025,5,28,0.2,C
2025,5,29,0.3,C
2025,5,30,0.1,C
2025,5,31,0.0,C
2025,6,1,7.1,C
2025,6,2,3.6,C
2025,6,3,1.6,C
2025,6,4,0.0,C
2025,6,5,0.8,C
2025,6,6,9.4,C
2025,6,7,11.1,C
2025,6,8,12.0,C
2025,6,9,11.1,C
2025,6,10,11.3,C
2025,6,11,2.0,C
2025,6,12,3.5,C
2025,6,13,2.3,C
2025,6,14,2.1,C
2025,6,15,0.8,C
2025,6,16,2.6,C
2025,6,17,0.0,C
2025,6,18,4.1,C
2025,6,19,4.3,C
2025,6,20,2.3,C
2025,6,21,5.5,C
2025,6,22,5.6,C
2025,6,23,10.3,C
2025,6,24,9.9,C
2025,6,25,12.1,C
2025,6,26,1.7,C
2025,6,27,0.8,C
2025,6,28,2.3,C
2025,6,29,4.1,C
2025,6,30,0.6,C
2025,7,1,2.9,C
2025,7,2,9.0,C
2025,7,3,9.2,C
2025,7,4,11.4,C
2025,7,5,7.3,C
2025,7,6,9.7,C
2025,7,7,10.5,C
2025,7,8,8.0,C
2025,7,9,7.7,C
2025,7,10,0.0,C
2025,7,11,1.2,C
2025,7,12,2.1,C
2025,7,13,7.7,C
2025,7,14,8.6,C
2025,7,15,4.0,C
2025,7,16,10.9,C
2025,7,17,11.4,C
2025,7,18,1.8,C
2025,7,19,5.8,C
2025,7,20,0.0,C
2025,7,21,0.0,C
2025,7,22,1.5,C
2025,7,23,6.1,C
2025,7,24,6.5,C
2025,7,25,9.3,C
2025,7,26,11.7,C
2025,7,27,11.0,C
2025,7,28,7.2,C
2025,7,29,1.0,C
2025,7,30,4.4,C
2025,7,31,4.0,C
2025,8,1,7.4,C
2025,8,2,0.0,C
2025,8,3,0.0,C
2025,8,4,0.0,C
2025,8,5,0.0,C
2025,8,6,0.0,C
2025,8,7,8.5,C
2025,8,8,11.0,C
2025,8,9,9.6,C
2025,8,10,9.9,C
2025,8,11,6.3,C
2025,8,12,9.2,C
2025,8,13,11.1,C
2025,8,14,0.0,C
2025,8,15,3.2,C
2025,8,16,9.9,C
2025,8,17,1.6,C
2025,8,18,0.2,C
2025,8,19,0.0,C
2025,8,20,5.2,C
2025,8,21,5.9,C
2025,8,22,10.9,C
2025,8,23,10.1,C
2025,8,24,4.6,C
2025,8,25,7.0,C
2025,8,26,10.4,C
2025,8,27,10.6,C
2025,8,28,0.2,C
2025,8,29,8.6,C
2025,8,30,4.2,C
2025,8,31,8.4,C
2025,9,1,9.2,C
2025,9,2,10.5,C
2025,9,3,10.5,C
2025,9,4,10.4,C
2025,9,5,11.0,C
2025,9,6,7.7,C
2025,9,7,2.8,C
2025,9,8,0.4,C
