date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-01-01,5.59,C,73.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-01-02,10.61,C,69.0,C,2.6,C,official_open_data,official_open_data,official_open_data
2025-01-03,16.7,C,35.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-01-04,15.81,C,64.0,C,8.2,C,official_open_data,official_open_data,official_open_data
2025-01-05,12.97,C,58.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-01-06,17.33,C,47.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-01-07,14.1,C,65.0,C,7.2,C,official_open_data,official_open_data,official_open_data
2025-01-08,13.49,C,65.0,C,5.6,C,official_open_data,official_open_data,official_open_data
2025-01-09,16.15,C,62.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-01-10,16.74,C,37.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-01-11,16.52,C,34.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-01-12,19.0,C,31.0,C,9.8,C,official_open_data,official_open_data,official_open_data
2025-01-13,17.93,C,51.0,C,8.9,C,official_open_data,official_open_data,official_open_data
2025-01-14,8.23,C,56.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-01-15,17.15,C,43.0,C,9.1,C,official_open_data,official_open_data,official_open_data
2025-01-16,16.27,C,43.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-01-17,17.88,C,48.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-01-18,17.22,C,57.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-01-19,17.67,C,57.0,C,10.0,C,official_open_data,official_open_data,official_open_data
2025-01-20,17.65,C,57.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-01-21,13.03,C,55.0,C,5.4,C,official_open_data,official_open_data,official_open_data
2025-01-22,10.4,C,66.0,C,3.5,C,official_open_data,official_open_data,official_open_data
2025-01-23,8.54,C,81.0,C,1.5,C,official_open_data,official_open_data,official_open_data
2025-01-24,17.78,C,72.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-01-25,14.55,C,77.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-01-26,2.51,C,72.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-01-27,19.96,C,34.0,C,10.3,C,official_open_data,official_open_data,official_open_data
2025-01-28,20.12,C,36.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-01-29,16.52,C,52.0,C,8.5,C,official_open_data,official_open_data,official_open_data
2025-01-30,17.57,C,65.0,C,8.9,C,official_open_data,official_open_data,official_open_data
2025-01-31,13.37,C,62.0,C,3.3,C,official_open_data,official_open_data,official_open_data
2025-02-01,11.47,C,87.0,C,3.0,C,official_open_data,official_open_data,official_open_data
2025-02-02,6.72,C,87.0,C,0.4,C,official_open_data,official_open_data,official_open_data
2025-02-03,7.11,C,73.0,C,1.2,C,official_open_data,official_open_data,official_open_data
2025-02-04,18.63,C,59.0,C,8.2,C,official_open_data,official_open_data,official_open_data
2025-02-05,16.35,C,64.0,C,7.0,C,official_open_data,official_open_data,official_open_data
