太陽總輻射 (兆焦耳/平方米) - 京士柏
Global Solar Radiation (MJ/m&sup2;) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,1,1,5.59,C
2025,1,2,10.61,C
2025,1,3,16.70,C
2025,1,4,15.81,C
2025,1,5,12.97,C
2025,1,6,17.33,C
2025,1,7,14.10,C
2025,1,8,13.49,C
2025,1,9,16.15,C
2025,1,10,16.74,C
2025,1,11,16.52,C
2025,1,12,19.00,C
2025,1,13,17.93,C
2025,1,14,8.23,C
2025,1,15,17.15,C
2025,1,16,16.27,C
2025,1,17,17.88,C
2025,1,18,17.22,C
2025,1,19,17.67,C
2025,1,20,17.65,C
2025,1,21,13.03,C
2025,1,22,10.40,C
2025,1,23,8.54,C
2025,1,24,17.78,C
2025,1,25,14.55,C
2025,1,26,2.51,C
2025,1,27,19.96,C
2025,1,28,20.12,C
2025,1,29,16.52,C
2025,1,30,17.57,C
2025,1,31,13.37,C
2025,2,1,11.47,C
2025,2,2,6.72,C
2025,2,3,7.11,C
2025,2,4,18.63,C
2025,2,5,16.35,C
2025,2,6,11.09,C
2025,2,7,6.65,C
2025,2,8,14.19,C
2025,2,9,20.86,C
2025,2,10,20.33,C
2025,2,11,12.95,C
2025,2,12,5.11,C
2025,2,13,6.49,C
2025,2,14,9.65,C
2025,2,15,11.89,C
2025,2,16,18.21,C
2025,2,17,19.97,C
2025,2,18,18.12,C
2025,2,19,9.25,C
2025,2,20,10.62,C
2025,2,21,5.78,C
2025,2,22,7.84,C
2025,2,23,7.88,C
2025,2,24,15.81,C
2025,2,25,7.50,C
2025,2,26,10.36,C
2025,2,27,20.64,C
2025,2,28,19.85,C
2025,3,1,7.30,C
2025,3,2,13.18,C
2025,3,3,15.03,C
2025,3,4,7.63,C
2025,3,5,3.37,C
2025,3,6,3.32,C
2025,3,7,4.50,C
2025,3,8,16.50,C
2025,3,9,20.79,C
2025,3,10,16.09,C
2025,3,11,12.40,C
2025,3,12,5.87,C
2025,3,13,17.35,C
2025,3,14,9.67,C
2025,3,15,15.38,C
2025,3,16,18.99,C
2025,3,17,9.29,C
2025,3,18,11.06,C
2025,3,19,23.81,C
2025,3,20,24.11,C
2025,3,21,23.99,C
2025,3,22,24.33,C
2025,3,23,23.72,C
2025,3,24,23.20,C
2025,3,25,23.11,C
2025,3,26,21.21,C
2025,3,27,11.05,C
2025,3,28,11.02,C
2025,3,29,2.66,C
2025,3,30,5.66,C
2025,3,31,3.48,C
2025,4,1,16.61,C
2025,4,2,21.40,C
2025,4,3,22.68,C
2025,4,4,10.52,C
2025,4,5,2.18,C
2025,4,6,9.68,C
2025,4,7,22.85,C
2025,4,8,18.34,C
2025,4,9,20.19,C
2025,4,10,17.50,C
2025,4,11,8.96,C
2025,4,12,4.07,C
2025,4,13,13.74,C
2025,4,14,24.02,C
2025,4,15,26.74,C
2025,4,16,26.23,C
2025,4,17,19.09,C
2025,4,18,3.56,C
2025,4,19,7.49,C
2025,4,20,24.12,C
2025,4,21,14.77,C
2025,4,22,19.25,C
2025,4,23,22.99,C
2025,4,24,16.58,C
2025,4,25,5.73,C
2025,4,26,7.80,C
2025,4,27,7.07,C
2025,4,28,12.84,C
2025,4,29,24.17,C
2025,4,30,21.24,C
2025,5,1,12.62,C
2025,5,2,26.34,C
2025,5,3,13.32,C
2025,5,4,18.85,C
2025,5,5,15.39,C
2025,5,6,11.83,C
2025,5,7,4.99,C
2025,5,8,15.35,C
2025,5,9,11.48,C
2025,5,10,12.91,C
2025,5,11,21.18,C
2025,5,12,27.86,C
2025,5,13,22.17,C
2025,5,14,22.15,C
2025,5,15,26.83,C
2025,5,16,12.33,C
2025,5,17,17.79,C
2025,5,18,22.66,C
2025,5,19,9.96,C
2025,5,20,11.87,C
2025,5,21,13.50,C
2025,5,22,22.25,C
2025,5,23,21.72,C
2025,5,24,10.44,C
2025,5,25,7.95,C
2025,5,26,12.26,C
2025,5,27,20.46,C
2025,5,28,7.17,C
2025,5,29,8.62,C
2025,5,30,6.62,C
2025,5,31,4.69,C
2025,6,1,23.24,C
2025,6,2,13.54,C
2025,6,3,12.65,C
2025,6,4,3.97,C
2025,6,5,13.70,C
2025,6,6,22.39,C
2025,6,7,26.52,C
2025,6,8,26.85,C
2025,6,9,27.46,C
2025,6,10,27.55,C
2025,6,11,12.67,C
2025,6,12,16.29,C
2025,6,13,12.72,C
2025,6,14,13.09,C
2025,6,15,9.70,C
2025,6,16,12.60,C
2025,6,17,4.42,C
2025,6,18,17.53,C
2025,6,19,17.49,C
2025,6,20,12.57,C
2025,6,21,19.29,C
2025,6,22,16.41,C
2025,6,23,23.32,C
2025,6,24,23.86,C
2025,6,25,28.77,C
2025,6,26,11.27,C
2025,6,27,8.53,C
2025,6,28,13.30,C
2025,6,29,15.07,C
2025,6,30,11.76,C
2025,7,1,11.55,C
2025,7,2,26.58,C
2025,7,3,20.83,C
2025,7,4,26.58,C
2025,7,5,19.27,C
2025,7,6,22.11,C
2025,7,7,25.42,C
2025,7,8,19.41,C
2025,7,9,19.04,C
2025,7,10,1.65,C
2025,7,11,13.26,C
2025,7,12,12.85,C
2025,7,13,19.89,C
2025,7,14,23.29,C
2025,7,15,14.64,C
2025,7,16,26.84,C
2025,7,17,26.05,C
2025,7,18,6.38,C
2025,7,19,17.46,C
2025,7,20,2.57,C
2025,7,21,4.79,C
2025,7,22,13.17,C
2025,7,23,21.15,C
2025,7,24,16.26,C
2025,7,25,21.40,C
2025,7,26,26.40,C
2025,7,27,26.03,C
2025,7,28,18.99,C
2025,7,29,3.91,C
2025,7,30,17.04,C
2025,7,31,15.84,C
2025,8,1,21.00,C
2025,8,2,1.45,C
2025,8,3,4.99,C
2025,8,4,1.30,C
2025,8,5,1.45,C
2025,8,6,5.29,C
2025,8,7,21.58,C
2025,8,8,26.27,C
2025,8,9,21.07,C
2025,8,10,24.04,C
2025,8,11,17.45,C
2025,8,12,24.10,C
2025,8,13,26.47,C
2025,8,14,1.10,C
2025,8,15,11.78,C
2025,8,16,25.90,C
2025,8,17,10.11,C
2025,8,18,6.79,C
2025,8,19,2.04,C
2025,8,20,18.35,C
2025,8,21,16.75,C
2025,8,22,24.26,C
2025,8,23,23.69,C
2025,8,24,16.89,C
2025,8,25,18.84,C
2025,8,26,25.40,C
2025,8,27,23.13,C
2025,8,28,9.12,C
2025,8,29,15.70,#
2025,8,30,12.08,#
2025,8,31,15.54,#
2025,9,1,20.12,#
2025,9,2,24.07,C
2025,9,3,23.15,C
2025,9,4,26.04,C
2025,9,5,25.74,C
2025,9,6,16.45,C
2025,9,7,10.34,C
2025,9,8,6.60,C
2025,9,9,9.79,C
2025,9,10,19.59,C
2025,9,11,12.39,C
2025,9,12,25.30,C
2025,9,13,25.53,C
2025,9,14,17.39,C
2025,9,15,22.80,C
2025,9,16,17.95,C
2025,9,17,18.84,C
2025,9,18,20.33,C
2025,9,19,5.00,C
2025,9,20,2.21,C
2025,9,21,2.65,C
2025,9,22,20.46,C
2025,9,23,10.23,C
2025,9,24,1.52,C
2025,9,25,9.15,C
2025,9,26,22.53,C
2025,9,27,24.53,C
2025,9,28,17.17,C
2025,9,29,22.70,C
2025,9,30,20.66,C
2025,10,1,18.59,C
2025,10,2,24.02,C
2025,10,3,23.34,C
2025,10,4,17.76,C
2025,10,5,8.05,C
2025,10,6,15.48,C
2025,10,7,20.25,C
2025,10,8,19.78,C
2025,10,9,22.17,C
2025,10,10,16.28,C
2025,10,11,22.51,C
2025,10,12,8.37,C
2025,10,13,19.12,C
2025,10,14,21.07,C
2025,10,15,20.98,C
2025,10,16,19.26,C
2025,10,17,19.67,C
2025,10,18,18.15,C
2025,10,19,16.21,C
2025,10,20,11.03,C
2025,10,21,6.46,C
2025,10,22,4.40,C
2025,10,23,9.34,C
2025,10,24,12.39,C
2025,10,25,16.58,C
2025,10,26,16.60,C
2025,10,27,5.86,C
