平均相對濕度(百分比) - 京士柏
Mean Relative Humidity (%) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,1,1,73,C
2025,1,2,69,C
2025,1,3,35,C
2025,1,4,64,C
2025,1,5,58,C
2025,1,6,47,C
2025,1,7,65,C
2025,1,8,65,C
2025,1,9,62,C
2025,1,10,37,C
2025,1,11,34,C
2025,1,12,31,C
2025,1,13,51,C
2025,1,14,56,C
2025,1,15,43,C
2025,1,16,43,C
2025,1,17,48,C
2025,1,18,57,C
2025,1,19,57,C
2025,1,20,57,C
2025,1,21,55,C
2025,1,22,66,C
2025,1,23,81,C
2025,1,24,72,C
2025,1,25,77,C
2025,1,26,72,C
2025,1,27,34,C
2025,1,28,36,C
2025,1,29,52,C
2025,1,30,65,C
2025,1,31,62,C
2025,2,1,87,C
2025,2,2,87,C
2025,2,3,73,C
2025,2,4,59,C
2025,2,5,64,C
2025,2,6,55,C
2025,2,7,61,C
2025,2,8,37,C
2025,2,9,41,C
2025,2,10,62,C
2025,2,11,70,C
2025,2,12,95,C
2025,2,13,77,C
2025,2,14,88,C
2025,2,15,84,C
2025,2,16,81,C
2025,2,17,69,C
2025,2,18,71,C
2025,2,19,75,C
2025,2,20,79,C
2025,2,21,83,C
2025,2,22,80,C
2025,2,23,71,C
2025,2,24,66,C
2025,2,25,69,C
2025,2,26,75,C
2025,2,27,77,C
2025,2,28,76,C
2025,3,1,89,C
2025,3,2,88,C
2025,3,3,86,C
2025,3,4,86,C
2025,3,5,92,C
2025,3,6,80,C
2025,3,7,81,C
2025,3,8,71,C
2025,3,9,67,C
2025,3,10,69,C
2025,3,11,75,C
2025,3,12,86,C
2025,3,13,82,C
2025,3,14,92,C
2025,3,15,88,C
2025,3,16,52,C
2025,3,17,48,C
2025,3,18,49,C
2025,3,19,50,C
2025,3,20,59,C
2025,3,21,56,C
2025,3,22,59,C
2025,3,23,62,C
2025,3,24,58,C
2025,3,25,60,C
2025,3,26,78,C
2025,3,27,79,C
2025,3,28,88,C
2025,3,29,83,C
2025,3,30,81,C
2025,3,31,81,C
2025,4,1,65,C
2025,4,2,60,C
2025,4,3,53,C
2025,4,4,70,C
2025,4,5,89,C
2025,4,6,72,C
2025,4,7,61,C
2025,4,8,72,C
2025,4,9,77,C
2025,4,10,81,C
2025,4,11,87,C
2025,4,12,81,C
2025,4,13,27,C
2025,4,14,48,C
2025,4,15,46,C
2025,4,16,75,C
2025,4,17,80,C
